type,handle,platform,name,tier,followers,audience,audienceMarket,contact,contactMethod,source,sourceAgency,introLink,productSeeded,creatorClass,recentBrandPosts,er,posts,rate,avgViews,avgGmv,gpm,retention,fee,commission,paymentTerms,proofLink,adCode,notes,stage
live,@adele_superstreamer,Shopee Live,,,,,,,,,,,,Creator,,,,,,,,,,25%,,,,"$50 shopee coins + $30 remaining balance carried from 8 Jul session. Focus on duo/trio/four bundles - Shopee pricing needs rework. Voucher plan: free toner on duo/four bundles only; free Vitamin C with full-set purchase. Promote buy-2-get-1-free (singles OK, $50 min spend). Check live pricing day-of (campaign discounts, offers, vouchers). Free shipping during live sales.",
live,@yanxin_superstreamer,Shopee Live,,,,,,,,,,,,Creator,,,,,,,,,,25%,,,,"Multiple Shopee Live sessions being planned; dates not yet confirmed.",negotiating
