type,handle,platform,name,tier,followers,audience,contact,contactMethod,source,sourceAgency,creatorClass,recentBrandPosts,er,posts,rate,avgViews,avgGmv,gpm,retention,fee,commission,paymentTerms,proofLink,adCode,notes,stage
ugc,@zoeraymondtan,Instagram,Zoe Raymond Tan,Micro,87k,"Family, Mum, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@zoniaraymond,Instagram,Zonia,Micro,41.4k,"KOL, Mum, Lifestyle, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@paigechua_,Instagram,,Nano,128K,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: extracted handle from URL 'https://www.instagram.com/paigechua_/?hl=en' -> 'paigechua_',sourced
ugc,@heyhihazelle,Instagram,,Nano,68K,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: extracted handle from URL 'https://www.instagram.com/heyhihazelle/?hl=en' -> 'heyhihazelle',sourced
ugc,@germainelenora,TikTok,,Nano,26000,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@yangguangkele3883,Instagram,,Nano,42K,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: extracted handle from URL 'https://www.instagram.com/yangguangkele3883/' -> 'yangguangkele3883',sourced
ugc,@annayeo44,TikTok,Anna Yeo,Nano,,,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet. Source sheet marked this Complete, but no proof-of-delivery link was provided, so it was imported as Delivering instead — attach proof before marking Complete.",live
ugc,@bellewithane_,Instagram,Belle,Nano,6.2k,"UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@loveeveryday,Instagram,Billie,Nano,"5,935","UGC, Mum, Lifestyle, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@blairiies,Instagram,Blair,Nano,"6,860","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@dowhatafter50,Instagram,Camie,Nano,"8,787","UGC, Lifestyle, Beauty, Fashion, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@candabanana,Instagram,Candice,Nano,"7,973",UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@883shihan,Instagram,Charlene,Nano,"1,576","Beauty, Lifestyle, Mum, Others",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@ca9560,Instagram,Charyn,Nano,"4,466",UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@cheriechh,Instagram,Cherie,Nano,"1,630","Beauty, UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@xoxochermaine,Instagram,Chermaine,Nano,"8,419","Sports, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@squidddooo,Instagram,Cherrell,Nano,"2,688","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@cheroroboo,Instagram,Cheryl,Nano,420,UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@clairee.anastasia,Instagram,Claire,Nano,"2,086","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@clara.slays,Instagram,Clara,Nano,"6,953","KOL, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@clarechanwm,Instagram,Clare,Nano,"7,167","Mum, KOL, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],contacted
ugc,@clarissehoon,Instagram,Clarisse,Nano,"2,471","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@codaythebay,Instagram,Codey,Nano,"7,149","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@cyndisxy,Instagram,Cyndi,Nano,"9,745","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@heylookitsdionne,Instagram,Dionne,Nano,"2,886","UGC, Lifestyle, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@e_forelainee,Instagram,Elaine,Nano,"3,386","Fashion, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],declined
ugc,@ugcwithemmasg,Instagram,Emma,Nano,"1,441","Beauty, UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@eunicelqy,Instagram,Eunice,Nano,"1,143","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@evonlotion,Instagram,Evon,Nano,"6,095",Lifestyle,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@fayce_mummyfay,Instagram,Fay,Nano,"4,224","Beauty, Lifestyle, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@p3ckyz,Instagram,Felicia,Nano,"5,836","Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@heyitsfel,Instagram,Felyn,Nano,"6,300","Beauty, Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],declined
ugc,@gabvalentina,Instagram,Gab,Nano,"5,115",,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@gladysheng12,Instagram,Gladys,Nano,"4,881","Lifestyle, UGC, Mum, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@gloriasoh,Instagram,Gloria,Nano,"8,752","Beauty, UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@isabelchungx,Instagram,Isabel,Nano,"4,902","Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@jac_ussy,Instagram,Jackie,Nano,"3,491","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@jaejaepeanut,Instagram,Jaedyn,Nano,"4,925","Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@Xiueyyy,Instagram,Jasmine,Nano,9.3k,"Fashion, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,negotiating
ugc,@jasminetan_,Instagram,Jasmine,Nano,"8,491",,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@yuqingleme,Instagram,Jaylyn,Nano,"4,529","Beauty, Family, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@jiaensia,Instagram,Jiaen,Nano,"1,640",UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@jiaxianlee_,Instagram,Jiaxian,Nano,"3,438",UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@juuyeow,Instagram,Juliana,Nano,"5,217","Others, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@junejellywelly,Instagram,June,Nano,"2,793","UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@juzquinvin,TikTok,Juzquinvin,Nano,,,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet. Source sheet marked this Complete, but no proof-of-delivery link was provided, so it was imported as Delivering instead — attach proof before marking Complete.",live
ugc,@karin.yanjie,Instagram,Karin,Nano,"3,019","Mum, Family, Lifestyle, Others",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@kaylacys,Instagram,Kayla,Nano,"2,838","Beauty, UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@flawlessluxe,TikTok,Kiro,Nano,,,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet. Source sheet marked this Complete, but no proof-of-delivery link was provided, so it was imported as Delivering instead — attach proof before marking Complete.",live
ugc,@kopitiam.auntea,Instagram,Kopitiam Auntea,Nano,981,"UGC, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@leonaayeo,Instagram,Leona,Nano,"7,451",UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@mandalyntan,Instagram,Madalyn,Nano,"6,947","UGC, Sports, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@tangmiaoling,Instagram,Miao Ling,Nano,"8,426","Others, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@itsminniiee,Instagram,Minnie,Nano,"1,916","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@nicolechowww,Instagram,Nicole Chow,Nano,"6,882","KOL, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@goodmoreningg,Instagram,Ning,Nano,"5,266",UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@nongjaeugc,TikTok,Nongjae,Nano,,,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet. Source sheet marked this Complete, but no proof-of-delivery link was provided, so it was imported as Delivering instead — attach proof before marking Complete.",live
ugc,@ochiebon,Instagram,Ochie,Nano,"5,182",,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@oliviakayd,Instagram,Olivia,Nano,"3,229","UGC, Lifestyle, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@leletheexplorerrr,Instagram,Phebe,Nano,"6,067","Beauty, UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@priscilla.ugcsg,Instagram,Priscilla,Nano,"2,912","Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],contacted
ugc,@sallsphee,Instagram,Sally,Nano,"7,921","UGC, Lifestyle, Fashion, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@sallytanpop,TikTok,Sally,Nano,,,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet. Source sheet marked this Complete, but no proof-of-delivery link was provided, so it was imported as Delivering instead — attach proof before marking Complete.",live
ugc,@blessedseb,Instagram,Sebrina,Nano,"2,527",Sports,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@shu.oo,Instagram,Shu,Nano,"5,216","UGC, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@883shuhui,Instagram,Shuhui,Nano,"2,469","Mum, Others, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@stsugcbacey,TikTok,Stacey,Nano,,,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet. Source sheet marked this Complete, but no proof-of-delivery link was provided, so it was imported as Delivering instead — attach proof before marking Complete.",live
ugc,@mianbaobreadpan,Instagram,Steph,Nano,"9,003","Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@ahappymum,Instagram,Summer,Nano,"8,601","Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@tanishataan,Instagram,Tanisha,Nano,"7,063","KOL, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@triciakohh,Instagram,Tricia,Nano,"7,241","UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@valeriealysonn,Instagram,Valerie Alyson,Nano,"8,413","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@vchongxo,Instagram,Vanessa,Nano,"3,331",UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@onetwoqi,Instagram,Wanqi,Nano,"2,404","Lifestyle, Beauty, UGC, Sports",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@whenmomprays,Instagram,Whenmomprays,Nano,"7,807","UGC, Mum, Family, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@whimpytv,TikTok,WhimpyTV,Nano,,,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet. Source sheet marked this Complete, but no proof-of-delivery link was provided, so it was imported as Delivering instead — attach proof before marking Complete.",live
ugc,@winterchee,Instagram,Winter,Nano,"4,877","Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: split multi-handle 'winterchee / thewinterchee' -> 'winterchee'; [MERGED: 2 duplicate entries from Instagram],contacted
ugc,@winzzles,TikTok,Winzzles,Nano,,,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet. Source sheet marked this Complete, but no proof-of-delivery link was provided, so it was imported as Delivering instead — attach proof before marking Complete.",live
ugc,@hxinjie,Instagram,Xinjie,Nano,"1,266","UGC, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],contacted
ugc,@cheongyeehui,Instagram,Yee Hui,Nano,"1,125","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@yesyurinkirana,Instagram,Yurini,Nano,"1,360","UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@yvonnechanofficial,Instagram,Yvonne,Nano,"7,126","UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@_jane_chan_,Instagram,_jane_chan_,Nano,"2,308","UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '2,308' -> handle '_jane_chan_'",sourced
ugc,@aliciatadah,Instagram,aliciatadah,Nano,"4,355","Fashion, KOL, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '4,355' -> handle 'aliciatadah'",sourced
ugc,@andathesea_,Instagram,andathesea_,Nano,50k,"Beauty, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: follower count '50k' -> handle 'andathesea_',sourced
ugc,@ban.nalee,Instagram,ban.nalee,Nano,25k,"Beauty, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: follower count '25k' -> handle 'ban.nalee',sourced
ugc,@bycharlenechong,Instagram,bycharlenechong,Nano,"7,053",confirmed appt,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '7,053' -> handle 'bycharlenechong'",contacted
ugc,@doris.is.me,Instagram,doris.is.me,Nano,"5,725",confirmed appt,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '5,725' -> handle 'doris.is.me'",contacted
ugc,@ginaaayeooo,Instagram,ginaaayeooo,Nano,"2,209","Family, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '2,209' -> handle 'ginaaayeooo'",sourced
ugc,@happykellymom,Instagram,happykellymom,Nano,"9,552",dm-ed,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '9,552' -> handle 'happykellymom'",contacted
ugc,@helloitsmaine,Instagram,helloitsmaine,Nano,"2,350",worked with her before alr,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '2,350' -> handle 'helloitsmaine'",sourced
ugc,@im__juliet,TikTok,imjuliet,Nano,,,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet. Source sheet marked this Complete, but no proof-of-delivery link was provided, so it was imported as Delivering instead — attach proof before marking Complete.",live
ugc,@itsgeorginally,Instagram,itsgeorginally,Nano,"4,820","Beauty, UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '4,820' -> handle 'itsgeorginally'",sourced
ugc,@jacinthawee,Instagram,jacinthawee,Nano,73k,"Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: follower count '73k' -> handle 'jacinthawee',sourced
ugc,@jasminevmw,Instagram,jasminevmw,Nano,20k,confirmed appt,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: follower count '20k' -> handle 'jasminevmw',contacted
ugc,@jeesitssarah,Instagram,jeesitssarah,Nano,13.8k,"Lifestyle, Family, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: follower count '13.8k' -> handle 'jeesitssarah',sourced
ugc,@junerosettes,Instagram,junerosettes,Nano,98k,confirmed appt,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: follower count '98k' -> handle 'junerosettes',contacted
ugc,@justcass_lee,Instagram,justcass_lee,Nano,"6,296",,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '6,296' -> handle 'justcass_lee'",sourced
ugc,@kingskinister,TikTok,kingsinister,Nano,,,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet. Source sheet marked this Complete, but no proof-of-delivery link was provided, so it was imported as Delivering instead — attach proof before marking Complete.",live
ugc,@lwt_livingwithtaste,Instagram,lwt_livingwithtaste,Nano,"2,531",pending reply,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '2,531' -> handle 'lwt_livingwithtaste'",sourced
ugc,@mamelambs,Instagram,mamelambs,Nano,"9,529",dm-ed,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '9,529' -> handle 'mamelambs'",sourced
ugc,@missonglai,Instagram,missonglai,Nano,"9,889","KOL, Mum, Family, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 3 duplicate entries from Instagram],contacted
ugc,@pearlywerkz,Instagram,pearlywerkz,Nano,14k,pending reply,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: follower count '14k' -> handle 'pearlywerkz',sourced
ugc,@pinkponkpunkpiak,Instagram,pinkponkpunkpiak,Nano,18k,"Family, Mum, UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: follower count '18k' -> handle 'pinkponkpunkpiak',sourced
ugc,@poppikyo,Instagram,poppikyo,Nano,"4,238",confirmed appt,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '4,238' -> handle 'poppikyo'",contacted
ugc,@prettyin.xl,Instagram,prettyin.xl,Nano,"8,908","Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '8,908' -> handle 'prettyin.xl'",sourced
ugc,@shermainevip,Instagram,shermainevip,Nano,"1,369","Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '1,369' -> handle 'shermainevip'",sourced
ugc,@sunflwerb,Instagram,sunflwerb,Nano,"2,304","UGC, Lifestyle, Fashion",,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '2,304' -> handle 'sunflwerb'",sourced
ugc,@sweeti3belbell3,Instagram,sweeti3belbell3,Nano,"2,035",confirmed appt,,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '2,035' -> handle 'sweeti3belbell3'",contacted
ugc,@terrxteo,Instagram,terrxteo,Nano,"7,288","Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '7,288' -> handle 'terrxteo'",sourced
ugc,@tiannelyt,Instagram,tiannelyt,Nano,30k,pending reply,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: follower count '30k' -> handle 'tiannelyt',sourced
ugc,@vivien.teo,Instagram,vivien.teo,Nano,"5,157","Beauty, Mum, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '5,157' -> handle 'vivien.teo'",sourced
ugc,@xavvylicious,Instagram,xavvylicious,Nano,"8,348","Lifestyle, Beauty, UGC",,,,,Creator,,,,,,,,,,,,,,"Cleaned from KOL hub source sheet: Fixed: follower count '8,348' -> handle 'xavvylicious'",sourced
ugc,@yashoras,Instagram,yashoras,Nano,63.8k,"Beauty, KOL, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: follower count '63.8k' -> handle 'yashoras',sourced
ugc,@yeetatoo,Instagram,yeetatoo,Nano,11.3k,"Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Fixed: follower count '11.3k' -> handle 'yeetatoo',sourced
