type,handle,platform,name,tier,followers,audience,contact,contactMethod,source,sourceAgency,creatorClass,recentBrandPosts,er,posts,rate,avgViews,avgGmv,gpm,retention,fee,commission,paymentTerms,proofLink,adCode,notes,stage
ugc,@beatriceleesn,Instagram,Beatrice,Micro,15k,"Mum, Lifestyle, KOL, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],contacted
ugc,@burnxice,Instagram,Bernice,Micro,27.4k,"Beauty, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],contacted
ugc,@blingyi,Instagram,Blingyi,Micro,37k,"KOL, Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@brendatjy,Instagram,Brenda,Micro,33.4k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@bryanahuang,Instagram,Bryana,Micro,13k,"UGC, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@callista.shannonn,Instagram,Calista Shannon,Micro,"15,000","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@carriesim,Instagram,Carrie,Micro,10k,"Beauty, Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@aizaiaisteady,Instagram,Charlene,Micro,25k,"Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@charlotteseet,Instagram,Charlotte,Micro,81k,"Beauty, Fashion, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@charlotte.kiew,Instagram,Charlotte K,Micro,23k,"Lifestyle, UGC, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@puckerandpout,Instagram,Charmaine,Micro,12k,"Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,negotiating
ugc,@charrlsy,Instagram,Charmaine,Micro,38.1k,UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@cherriwong,Instagram,Cherri,Micro,18k,"Mum, KOL, Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@baking_taitai,Instagram,Cheryl,Micro,25k,"Lifestyle, UGC, Others",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@cherylpang_,Instagram,Cheryl,Micro,24k,"UGC, Lifestyle, Family, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@cheryltaysg,Instagram,Cheryl Tay,Micro,"82,000","KOL, Lifestyle, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@chloeandchoo,Instagram,Chloe,Micro,74k,"Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@simongirlllllll,Instagram,Chloe,Micro,16k,"KOL, Family, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@cinddie,Instagram,Cinddie,Micro,14k,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@clarieacaciateo,Instagram,Claire,Micro,34k,"Fashion, Beauty, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@crystalleehuiting_,Instagram,Crystal Lee,Micro,13k,"Beauty, UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@xdaphnewee,Instagram,Daphne,Micro,30k,"Lifestyle, Beauty, Fashion, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@eexuanng,Instagram,Ee Xuan,Micro,44k,"Beauty, Lifestyle, Mum, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@g.ella__,Instagram,Ella,Micro,11k,"Fashion, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@djellenn,Instagram,Ellen,Micro,87k,"UGC, Mum, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@ericalohh,Instagram,Erica,Micro,10k,"UGC, Fashion, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@princessezyt,Instagram,Erica,Micro,13k,"Family, Lifestyle, UGC, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@ezanetan,Instagram,Ezane,Micro,19k,"Lifestyle, Family, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@gengenygen,Instagram,Genevive,Micro,78k,"Beauty, Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@iamggy,Instagram,Georgina,Micro,25k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@gillianyoong,Instagram,Gillian,Micro,45k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@higisselle,Instagram,Giselle,Micro,21.7k,"KOL, Family, Mum, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@gracelsyy,Instagram,Grace,Micro,67k,"Beauty, Fashion, Family, Mum, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@ohyeahuilii,Instagram,Hui Li,Micro,33.3k,"Beauty, KOL, Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@paperger,Instagram,Huirong,Micro,24k,"Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@tinajamieloh,Instagram,Jamie,Micro,21k,"Mum, Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@carcinojane,Instagram,Jane,Micro,"13,000","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@janekarmendra,Instagram,Jane,Micro,41k,"Beauty, Fashion, Lifestyle, Family, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@jaylenebaobao,Instagram,Jaylene,Micro,51k,"Family, Mum, KOL, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],contacted
ugc,@jaynejetplane,Instagram,Jayne,Micro,22k,"Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@myjream,Instagram,Jeanne,Micro,12.4k,"Mum, Family, UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@jenjenbelle,Instagram,Jennifer,Micro,12k,"Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@lryjewels,Instagram,Jewel,Micro,20.3k,"Mum, KOL, Lifestyle, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],contacted
ugc,@doublewks,Instagram,Jezlynne,Micro,94.1k,UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@chowjiahui,Instagram,Jiahui,Micro,94k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@camilla_mamajoanne,Instagram,Jo-Anne,Micro,31k,"Lifestyle, Family, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@itsajoannatheng,Instagram,Joanna,Micro,65.9k,"KOL, Family, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@jocinaaa,Instagram,Jocina,Micro,40k,"Fashion, Family, Mum, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@jxxbingjie,Instagram,Jordus Bingjie,Micro,18k,"Beauty, Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@mamasinfinitylove,Instagram,Joyce,Micro,11k,"Lifestyle, Family, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@xojoycechewxo,Instagram,Joyce Chew,Micro,12k,"UGC, Lifestyle, Beauty, Fashion, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@joycelynthiang,Instagram,Joycelyn Thiang,Micro,31k,UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@limkatrina,Instagram,Katrina,Micro,13k,"Lifestyle, UGC, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@keishasarah,Instagram,Keisha,Micro,72k,"Beauty, Lifestyle, KOL, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@kennababe_,Instagram,Kenna,Micro,18k,"UGC, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@kerrynleemx,Instagram,Kerryn,Micro,91k,KOL,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@utasong,Instagram,Krystal Tay,Micro,17k,"Beauty, Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@babykyliee,Instagram,Kylie,Micro,11.5k,"Beauty, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],negotiating
ugc,@kylolizy,Instagram,Lizy,Micro,93.5k,"Beauty, Fashion, Family, Mum, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@louisayeo_,Instagram,Louisa,Micro,29k,"UGC, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],contacted
ugc,@lucy.rezel,Instagram,Lucy,Micro,36k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@lydearlyy,Instagram,Lydia,Micro,11.1k,UGC,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@maddybreteche,Instagram,Maddy,Micro,50k,"Beauty, Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@mayne.lim,Instagram,Mayne,Micro,53k,"UGC, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@misshippo,Instagram,Michelle,Micro,17k,"Mum, KOL, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],contacted
ugc,@mickeyhuang0126,Instagram,Mickey,Micro,55k,"KOL, Mum, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,negotiating
ugc,@naofromjapan,Instagram,Nao,Micro,30k,"Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@naploes,Instagram,Natalie,Micro,"36,000","UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@natashatannnnn,Instagram,Natasha,Micro,12k,"UGC, Beauty, Lifestyle, Sports",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
